,name,party,chamber,text,score_pattern,score_vader
75,Mike Thompson,D,house,RT @Chris_Chmura ⬇️Do you know where any of these people are? Please contact @RedCross in Santa Rosa if you do. #wildfires http://pbs.twimg.com/media/DL5nYCxUIAAgG7q.jpg,0.0,0.3182
76,John Rutherford,R,house,RT @RosLehtinen #Florida members united 2 end #humantrafficking @RepDWStweets @RepLoisFrankel @RepHastingsFL @VernBuchanan @RepRutherfordFL @RepTedYoho http://pbs.twimg.com/media/DDa8yB0W0AEc0Mk.jpg,0.0,0.4215
77,Sheldon Whitehouse,D,senate,More information; more warnings from our oceans of the cost of abusing them. Old maps tell a tale. https://www.washingtonpost.com/news/speaking-of-science/wp/2017/09/06/240-year-old-nautical-maps-show-coral-loss-is-much-worse-than-we-knew/?utm_term=.cd8a13bf2e4d,0.366666666667,-0.6962
78,Jeff Merkley,D,senate,No US region has experienced more extreme weather over last yr than #PNW. Oregon needs us to act! #TodaysClimateFact https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2017/08/14/daily-202-evidence-of-climate-change-abounds-amid-extreme-weather-in-the-pacific-northwest/59910b8e30fb0462b8e1a9c4/?hpid=hp_hp-more-top-stories_daily202-climate-817am%3Ahomepage%2Fstory&utm_term=.819b485c1431,0.29375,-0.3595
79,Tammy Baldwin,D,senate,"Our Wisconsin workers also build engines, motors, ships, and motorcycles. We make things, it’s what we do. #MadeInWI #MadeInAmerica",0.0,0.0
80,Brian Mast,R,house,We must protect &amp; increase #FL18 jobs. That's why I introduced a bill to help keep maritime jobs LOCAL http://pbs.twimg.com/media/DHx4MuIXsAIdrX5.jpg,0.0,0.765
81,Richard Blumenthal,D,senate,"The anemic, inadequate response to Maria has become a man-made disaster – with food, water, and medical necessities in scarce supply. http://pbs.twimg.com/ext_tw_video_thumb/913505418210631680/pu/img/RfLx0RLha_z-Eixw.jpg https://video.twimg.com/ext_tw_video/913505418210631680/pu/vid/1280x720/lrF-5nXL4RFzydhY.mp4",0.0,-0.7783
82,Joaquin Castro,D,house,RT @EugeneAustin the ultimate vote of no confidence from more than 45 execs - The ‘business president’ couldn’t keep CEOs on his side https://www.washingtonpost.com/amphtml/news/wonk/wp/2017/08/17/the-business-president-couldnt-even-keep-ceos-on-his-side/,0.25,0.2732
83,Keith Ellison,D,house,RT @mamalama317 @keithellison FYI.  Mpls news today https://twitter.com/mprnews/status/892799131294552064,0.0,0.368
84,Mike Capuano,D,house,"@nikiinthehouse is a tremendous advocate and powerful voice. I've enjoyed working with her, send thanks and wish her the best",0.466666666667,0.9423
85,Frank Pallone,D,house,Together we stopped Trump admin from eliminating Envoy to #NorthernIreland. US played crucial role in peace process &amp; must continue to do so http://pbs.twimg.com/media/DKwNFB7XkAEpTlr.jpg,0.0,0.6124
86,Dan Sullivan,R,senate,"Appreciated the tour of @BloodBankofAK, a vital resource for Alaskans &amp; health institutions across the state, especially in times of crisis. http://pbs.twimg.com/media/DHd8ITdUAAUAM7S.jpg http://pbs.twimg.com/media/DHd8Jz1VYAAfACe.jpg http://pbs.twimg.com/media/DHd8NSIUwAEHjwW.jpg http://pbs.twimg.com/media/DHd8QtiUQAAC0GV.jpg",0.1,0.1027
87,Cathy McMorris Rodgers,R,house,"Today in 1963, MLK Jr delivered his I Have a Dream speech. In our continued fight against racial division, his words still ring true.",0.35,0.296
88,Al Franken,D,senate,Proud a MN organization is 1 of 7 programs nationwide being recognized for ↑ employment for underserved communities. https://www.goodwilleasterseals.org/application/files/3915/0290/6416/Goodwill_Employment_Excellence_Program_HHS_Designation.pdf,0.8,0.4767
89,Don Beyer,D,house,RT @LissandraVilla Puerto Rico governor: ‘We still need some more help’ from Washington https://www.washingtonpost.com/news/post-politics/wp/2017/09/24/puerto-rico-governor-we-still-need-some-more-help-from-washington/?utm_term=.d18a7f81a389,0.5,0.0
90,Michael C. Burgess,R,house,"On #September11, I am thinking of my friends at @AmericanAir and all who lost loved ones on 9/11. We will #NeverForget. http://pbs.twimg.com/media/DJeOUCaW0AERRRK.jpg",0.7,0.6908
91,Pramila Jayapal,D,house,"RT @SAALTweets Happening now: SAALT Congressional briefing w/ #CAPAC and allies on ending hate violence aimed at South Asian, Muslim, &amp; Sikh communities http://pbs.twimg.com/media/DJh4AKFX0AA3bRD.jpg",-0.4,-0.8316
92,Mike Gallagher,R,house,Couldn't agree more with Chairman @MacTXPress. Congress is failing in its moral obligation to our service members. https://www.washingtonpost.com/opinions/congress-keeps-holding-military-funding-hostage-thats-a-recipe-for-disaster/2017/09/07/e5137ba6-934a-11e7-8754-d478688d23b4_story.html?utm_term=.bc9339b1007a,0.25,-0.6608
93,Cory Booker,D,senate,RT @GeorgeTakei I added a video to a @YouTube playlist http://youtu.be/TVCpZMqCTfg?a Senator Cory Booker Meets George Takei – FULL INTERVIEW | NowThis,0.35,0.0
94,Bob Casey Jr.,D,senate,Most small businesses using pass-through already pay less than the proposed GOP rate. http://pbs.twimg.com/media/DL3muBdWsAAI6SQ.jpg,0.0277777777778,-0.1027
95,Glenn Thompson,R,house,Speaking to Chapter for National Alliance on #MentalIllness #NAMI on #mentalhealth reform comprehensive #addiction reduction &amp; #Telemedicine,0.0,0.25
96,Lloyd Smucker,R,house,Build your own responsible federal budget with a new tool from @BudgetHawks! What would you cut or spend? https://t.co/ACu3dmGM0a https://t.co/notyWPw62v,0.323484848485,0.126
97,Mike Thompson,D,house,RT @abc7newsbayarea WATCH LIVE: Rep. Thompson expects House to pass legislation today to give $1 billion to North Bay fire relief: http://abc7ne.ws/2xB0Bx2 http://pbs.twimg.com/media/DL83zy4V4AA3_Ov.jpg,0.136363636364,0.1779
